grupo_sent_vader_subcateg,A_NFO,A_NFR,A_NME,A_NEU,A_PFO,A_PFR,A_PME,D_NFO,D_NFR,D_NME,D_NEU,D_PFO,D_PFR,D_PME
blinkmelphia,0.13333333333333333,0.2,0.06666666666666667,0.26666666666666666,0.0,0.06666666666666667,0.26666666666666666,0.0,0.25,0.0,0.375,0.125,0.125,0.125
bluvobi,0.6,0.0,0.2,0.0,0.0,0.0,0.2,0.1,0.08,0.16,0.52,0.04,0.04,0.06
boaventuramar,0.2222222222222222,0.05555555555555555,0.2222222222222222,0.3333333333333333,0.0,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.0,0.08333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.25
bolharegal,0.1,0.05,0.2,0.6,0.0,0.05,0.0,0.25,0.25,0.0,0.375,0.0,0.125,0.0
bonanestefani_,0.18181818181818182,0.0,0.36363636363636365,0.36363636363636365,0.0,0.09090909090909091,0.0,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.0,0.2857142857142857
bpitteri,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666
bravesunfl,0.1875,0.125,0.3125,0.125,0.0,0.0625,0.1875,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.0,0.14285714285714285
brazilianbird93,0.1111111111111111,0.2222222222222222,0.0,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.07142857142857142,0.07142857142857142,0.0
breakingthatbad,0.4,0.0,0.2,0.2,0.2,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333
brendabefs,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.0,0.125,0.25,0.0,0.25,0.0,0.125,0.25
brisabelinha,0.07692307692307693,0.0,0.15384615384615385,0.38461538461538464,0.0,0.0,0.38461538461538464,0.25,0.0,0.375,0.0,0.125,0.125,0.125
brocoleez,0.16666666666666666,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.5,0.0,0.0,0.16666666666666666
brolshevik,0.06358381502890173,0.11560693641618497,0.13872832369942195,0.4508670520231214,0.03468208092485549,0.07514450867052024,0.12138728323699421,0.04081632653061224,0.08163265306122448,0.20408163265306123,0.3877551020408163,0.04081632653061224,0.08163265306122448,0.16326530612244897
broonaIanz,0.3076923076923077,0.0,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.0,0.0,0.16666666666666666,0.5,0.0,0.16666666666666666,0.16666666666666666
brruba_,0.0,0.09090909090909091,0.36363636363636365,0.3181818181818182,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0
